Week 1 | Player Corp (ID: 1) | Development Start | Started New Product 1
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 11 units from Maker ID 6 for 33634931 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 11 units from Maker ID 5 for 35250820 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 4 for 31918440 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 11 units from Maker ID 5 for 35250820 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 5 for 32046200 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 11 units from Maker ID 3 for 35202805 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 2 for 31735540 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 2 for 31735540 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 4 for 31918440 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 6 for 30577210 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 5 for 32046200 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 6 for 30577210 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 5 for 32046200 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 5 for 32046200 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 3 for 32002550 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 4 for 31918440 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 3 for 32002550 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 2 for 31735540 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 6 for 30577210 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 10 units from Maker ID 6 for 30577210 yen
Week 2 | Auto Dealer H (ID: 14) | B2B Order | Ordered 3 units from Maker ID 2 for 9520662 yen
Week 2 | Auto Dealer H (ID: 14) | Advertising | Brand Ad (Budget: 61000000)
Week 2 | Auto Dealer I (ID: 15) | HR Hiring Offer | Offered 3760000 yen to NPC_2808 (ID: 24336)
Week 2 | Auto Dealer I (ID: 15) | HR Hiring Offer | Offered 2000000 yen to NPC_7708 (ID: 24426)
Week 2 | Auto Dealer I (ID: 15) | HR Hiring Offer | Offered 2960000 yen to NPC_7300 (ID: 24599)
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 11 units from Maker ID 6 for 33634931 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 11 units from Maker ID 6 for 33634931 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 10 units from Maker ID 3 for 32002550 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 11 units from Maker ID 5 for 35250820 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 10 units from Maker ID 3 for 32002550 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 10 units from Maker ID 4 for 31918440 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 10 units from Maker ID 6 for 30577210 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 10 units from Maker ID 6 for 30577210 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 6 for 27519489 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 10 units from Maker ID 2 for 31735540 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 10 units from Maker ID 3 for 32002550 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 10 units from Maker ID 6 for 30577210 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 4 for 28726596 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 5 for 28841580 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 10 units from Maker ID 4 for 31918440 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 6 for 27519489 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 3 for 28802295 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 4 for 28726596 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 2 for 28561986 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 6 for 27519489 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 3 for 28802295 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 6 for 27519489 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 3 for 28802295 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 3 for 28802295 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 2 for 28561986 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 5 for 28841580 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 6 for 27519489 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 4 for 28726596 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 3 for 28802295 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 4 for 28726596 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 2 for 28561986 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 8 units from Maker ID 3 for 25602040 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 9 units from Maker ID 6 for 27519489 yen
Week 2 | Auto Dealer I (ID: 15) | B2B Order | Ordered 6 units from Maker ID 5 for 19227720 yen
Week 2 | Auto Dealer I (ID: 15) | Advertising | Brand Ad (Budget: 62000000)
Week 2 | Auto Dealer J (ID: 16) | HR Hiring Offer | Offered 2000000 yen to NPC_7708 (ID: 24426)
Week 2 | Auto Dealer J (ID: 16) | HR Hiring Offer | Offered 2480000 yen to NPC_1794 (ID: 24601)
Week 2 | Auto Dealer J (ID: 16) | HR Hiring Offer | Offered 2400000 yen to NPC_4866 (ID: 24496)
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 14 units from Maker ID 6 for 42808094 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 13 units from Maker ID 6 for 39750373 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 14 units from Maker ID 6 for 42808094 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 14 units from Maker ID 5 for 44864680 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 14 units from Maker ID 5 for 44864680 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 13 units from Maker ID 2 for 41256202 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 13 units from Maker ID 2 for 41256202 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 13 units from Maker ID 6 for 39750373 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 13 units from Maker ID 2 for 41256202 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 13 units from Maker ID 5 for 41660060 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 6 for 36692652 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 3 for 38403060 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 4 for 38302128 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 3 for 38403060 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 6 for 36692652 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 3 for 38403060 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 3 for 38403060 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 7 units from Maker ID 5 for 22432340 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 6 for 36692652 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 6 for 36692652 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 2 for 38082648 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 5 units from Maker ID 5 for 16023100 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 6 for 36692652 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 4 for 38302128 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 4 for 38302128 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 3 for 38403060 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 11 units from Maker ID 5 for 35250820 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 12 units from Maker ID 2 for 38082648 yen
Week 2 | Auto Dealer J (ID: 16) | B2B Order | Ordered 1 units from Maker ID 3 for 3200255 yen
Week 2 | Auto Dealer J (ID: 16) | Advertising | Brand Ad (Budget: 65000000)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 9 units (Order ID: 1)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 9 units (Order ID: 1)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 9 units (Order ID: 4)
Week 2 | Rival Motors A (ID: 2) | B2B Shipment | Shipped 9 units (Order ID: 4)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 9 units (Order ID: 5)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 9 units (Order ID: 5)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 7)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 8 units (Order ID: 7)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 8)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 8 units (Order ID: 8)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 9)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 8 units (Order ID: 9)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 12)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 8 units (Order ID: 12)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 13)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 8 units (Order ID: 13)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 14)
Week 2 | Rival Motors A (ID: 2) | B2B Shipment | Shipped 8 units (Order ID: 14)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 15)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 8 units (Order ID: 15)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 16)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 8 units (Order ID: 16)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 17)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 8 units (Order ID: 17)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 18)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 8 units (Order ID: 18)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 19)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 8 units (Order ID: 19)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 20)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 8 units (Order ID: 20)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 7 units (Order ID: 24)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 7 units (Order ID: 24)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 25)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 8 units (Order ID: 25)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 26)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 8 units (Order ID: 26)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 8 units (Order ID: 27)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 8 units (Order ID: 27)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 7 units (Order ID: 28)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 7 units (Order ID: 28)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 7 units (Order ID: 29)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 7 units (Order ID: 29)
Week 2 | Auto Dealer A (ID: 7) | B2B Delivery | Received 3 units (Order ID: 30)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 3 units (Order ID: 30)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 31)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 6 units (Order ID: 31)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 33)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 6 units (Order ID: 33)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 34)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 6 units (Order ID: 34)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 35)
Week 2 | Rival Motors A (ID: 2) | B2B Shipment | Shipped 6 units (Order ID: 35)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 36)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 36)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 38)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 6 units (Order ID: 38)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 39)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 6 units (Order ID: 39)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 40)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 6 units (Order ID: 40)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 41)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 41)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 43)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 43)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 5 units (Order ID: 44)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 5 units (Order ID: 44)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 5 units (Order ID: 45)
Week 2 | Rival Motors A (ID: 2) | B2B Shipment | Shipped 5 units (Order ID: 45)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 5 units (Order ID: 46)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 5 units (Order ID: 46)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 47)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 6 units (Order ID: 47)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 48)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 6 units (Order ID: 48)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 51)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 6 units (Order ID: 51)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 5 units (Order ID: 54)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 5 units (Order ID: 54)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 5 units (Order ID: 55)
Week 2 | Rival Motors A (ID: 2) | B2B Shipment | Shipped 5 units (Order ID: 55)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 5 units (Order ID: 56)
Week 2 | Rival Motors A (ID: 2) | B2B Shipment | Shipped 5 units (Order ID: 56)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 57)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 6 units (Order ID: 57)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 58)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 58)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 5 units (Order ID: 59)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 5 units (Order ID: 59)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 5 units (Order ID: 61)
Week 2 | Rival Motors A (ID: 2) | B2B Shipment | Shipped 5 units (Order ID: 61)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 5 units (Order ID: 62)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 5 units (Order ID: 62)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 63)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 63)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 5 units (Order ID: 64)
Week 2 | Rival Motors A (ID: 2) | B2B Shipment | Shipped 5 units (Order ID: 64)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 5 units (Order ID: 65)
Week 2 | Rival Motors A (ID: 2) | B2B Shipment | Shipped 5 units (Order ID: 65)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 66)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 6 units (Order ID: 66)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 5 units (Order ID: 67)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 5 units (Order ID: 67)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 5 units (Order ID: 70)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 5 units (Order ID: 70)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 6 units (Order ID: 71)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 71)
Week 2 | Auto Dealer B (ID: 8) | B2B Delivery | Received 5 units (Order ID: 72)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 5 units (Order ID: 72)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 76)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 6 units (Order ID: 76)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 7 units (Order ID: 77)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 7 units (Order ID: 77)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 78)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 6 units (Order ID: 78)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 79)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 79)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 80)
Week 2 | Rival Motors A (ID: 2) | B2B Shipment | Shipped 6 units (Order ID: 80)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 7 units (Order ID: 82)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 7 units (Order ID: 82)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 83)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 6 units (Order ID: 83)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 7 units (Order ID: 84)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 7 units (Order ID: 84)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 7 units (Order ID: 85)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 7 units (Order ID: 85)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 87)
Week 2 | Rival Motors A (ID: 2) | B2B Shipment | Shipped 6 units (Order ID: 87)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 88)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 88)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 89)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 6 units (Order ID: 89)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 91)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 6 units (Order ID: 91)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 92)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 92)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 93)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 6 units (Order ID: 93)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 94)
Week 2 | Rival Motors A (ID: 2) | B2B Shipment | Shipped 6 units (Order ID: 94)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 95)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 6 units (Order ID: 95)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 97)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 97)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 98)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 98)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 100)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 6 units (Order ID: 100)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 101)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 6 units (Order ID: 101)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 103)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 6 units (Order ID: 103)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 104)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 104)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 106)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 6 units (Order ID: 106)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 5 units (Order ID: 107)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 5 units (Order ID: 107)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 108)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 108)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 109)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 109)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 111)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 6 units (Order ID: 111)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 6 units (Order ID: 112)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 6 units (Order ID: 112)
Week 2 | Auto Dealer C (ID: 9) | B2B Delivery | Received 4 units (Order ID: 113)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 4 units (Order ID: 113)
Week 2 | Auto Dealer D (ID: 10) | B2B Delivery | Received 7 units (Order ID: 114)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 7 units (Order ID: 114)
Week 2 | Auto Dealer D (ID: 10) | B2B Delivery | Received 6 units (Order ID: 115)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 6 units (Order ID: 115)
Week 2 | Auto Dealer D (ID: 10) | B2B Delivery | Received 7 units (Order ID: 116)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 7 units (Order ID: 116)
Week 2 | Auto Dealer D (ID: 10) | B2B Delivery | Received 6 units (Order ID: 118)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 6 units (Order ID: 118)
Week 2 | Auto Dealer D (ID: 10) | B2B Delivery | Received 7 units (Order ID: 120)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 7 units (Order ID: 120)
Week 2 | Auto Dealer D (ID: 10) | B2B Delivery | Received 6 units (Order ID: 121)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 6 units (Order ID: 121)
Week 2 | Auto Dealer D (ID: 10) | B2B Delivery | Received 6 units (Order ID: 122)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 6 units (Order ID: 122)
Week 2 | Auto Dealer D (ID: 10) | B2B Delivery | Received 6 units (Order ID: 123)
Week 2 | Rival Motors B (ID: 3) | B2B Shipment | Shipped 6 units (Order ID: 123)
Week 2 | Auto Dealer D (ID: 10) | B2B Delivery | Received 6 units (Order ID: 124)
Week 2 | Rival Motors D (ID: 5) | B2B Shipment | Shipped 6 units (Order ID: 124)
Week 2 | Auto Dealer D (ID: 10) | B2B Delivery | Received 6 units (Order ID: 125)
Week 2 | Rival Motors A (ID: 2) | B2B Shipment | Shipped 6 units (Order ID: 125)
Week 2 | Auto Dealer D (ID: 10) | B2B Delivery | Received 6 units (Order ID: 126)
Week 2 | Rival Motors C (ID: 4) | B2B Shipment | Shipped 6 units (Order ID: 126)
Week 2 | Auto Dealer D (ID: 10) | B2B Delivery | Received 6 units (Order ID: 127)
Week 2 | Rival Motors E (ID: 6) | B2B Shipment | Shipped 6 units (Order ID: 127)
